kalshi_ticker,kalshi_title,polymarket_slug,polymarket_question,similarity_score,category,kalshi_expiry,polymarket_end_date
KXMVESPORTSMULTIGAMEEXTENDED-S20266054DC7D6E8-283104F5212,"yes Paolo Banchero: 15+,yes Paolo Banchero: 6+,yes Over 207.5 points scored",nba-orl-det-2026-04-22-points-paolo-banchero-20pt5,Paolo Banchero: Points O/U 20.5,0.7895,Paolo Banchero: Points O/U 20.5,2026-05-06T23:00:00Z,2026-04-22T23:00:00Z
KXMVESPORTSMULTIGAMEEXTENDED-S20265B69E54A03B-F2538E5A68C,"yes Both Teams To Score,yes Atletico,yes Bayern Munich",uwcl-bm-fcb-2026-04-25-btts,FC Bayern München vs. FC Barcelona: Both Teams to Score,0.7858,Both Teams to Score,2026-05-12T19:00:00Z,2026-04-25T16:15:00Z
KXMVECROSSCATEGORY-S2026847CFFF0C72-F385B7569B6,"yes Paolo Banchero: 15+,yes Paolo Banchero: 4+,yes Over 204.5 points scored,yes Over 203.5 points scored",nba-orl-det-2026-04-22-points-paolo-banchero-20pt5,Paolo Banchero: Points O/U 20.5,0.783,Paolo Banchero: Points O/U 20.5,2026-05-06T23:00:00Z,2026-04-22T23:00:00Z
KXMVESPORTSMULTIGAMEEXTENDED-S20265B69E54A03B-F2538E5A68C,"yes Both Teams To Score,yes Atletico,yes Bayern Munich",uwcl-fcb-bm-2026-05-03-btts,FC Barcelona vs. FC Bayern München: Both Teams to Score,0.7824,Both Teams to Score,2026-05-12T19:00:00Z,2026-05-03T14:30:00Z
KXMVESPORTSMULTIGAMEEXTENDED-S20263801BA31191-2E4C0B3BEAF,"yes Desmond Bane: 15+,yes Dillon Brooks: 15+,yes Over 210.5 points scored",nba-orl-det-2026-04-22-points-desmond-bane-18pt5,Desmond Bane: Points O/U 18.5,0.7814,Desmond Bane: Points O/U 18.5,2026-05-06T23:00:00Z,2026-04-22T23:00:00Z
KXMVECROSSCATEGORY-S2026B4B63FD0DDB-7E8BACB45DF,"yes Devin Booker: 20+,yes Over 206.5 points scored",nba-phx-okc-2026-04-22-points-devin-booker-23pt5,Devin Booker: Points O/U 23.5,0.7806,Devin Booker: Points O/U 23.5,2026-05-07T01:30:00Z,2026-04-23T01:30:00Z
KXMVECROSSCATEGORY-S2026B046350A6CC-94CC1EB09D7,"yes Wendell Carter Jr.: 4+,yes Detroit wins by over 4.5 points,yes Over 201.5 points scored",nba-orl-det-2026-04-22-points-wendell-carter-jr-2pt5,Wendell Carter Jr.: Points O/U 2.5,0.7795,Wendell Carter Jr.: Points O/U 2.5,2026-05-06T23:00:00Z,2026-04-22T23:00:00Z
KXMVECROSSCATEGORY-S20269956AECE293-D473D73DC20,"yes Duncan Robinson: 1+,yes Detroit,yes Oklahoma City,yes Cade Cunningham: 2+,yes Shai Gilgeous-Alexander: 2+,yes Over 219.5 points scored",nba-orl-det-2026-04-22-points-duncan-robinson-2pt5,Duncan Robinson: Points O/U 2.5,0.7782,Duncan Robinson: Points O/U 2.5,2026-05-06T23:00:00Z,2026-04-22T23:00:00Z
KXMVECROSSCATEGORY-S2026B9D1DFB1FC9-71F6D63C6F5,"yes James Harden: 1+,yes Cleveland,yes James Harden: 15+,yes Over 219.5 points scored",nba-cle-tor-2026-04-23-points-james-harden-20pt5,James Harden: Points O/U 20.5,0.7775,James Harden: Points O/U 20.5,2026-05-08T00:00:00Z,2026-04-24T00:00:00Z
KXMVESPORTSMULTIGAMEEXTENDED-S20260DBC79815AC-231C5DFBE8D,"yes Cade Cunningham: 25+,yes Over 204.5 points scored",nba-orl-det-2026-04-22-points-cade-cunningham-28pt5,Cade Cunningham: Points O/U 28.5,0.7775,Cade Cunningham: Points O/U 28.5,2026-05-06T23:00:00Z,2026-04-22T23:00:00Z
KXMVECROSSCATEGORY-S20262B14F74ADD6-349F5E1D3D3,"yes Both Teams To Score,yes Bayern Munich",uwcl-bm-fcb-2026-04-25-btts,FC Bayern München vs. FC Barcelona: Both Teams to Score,0.7772,Both Teams to Score,2026-05-06T19:00:00Z,2026-04-25T16:15:00Z
KXMVESPORTSMULTIGAMEEXTENDED-S2026453E0448369-ECA6FADE4E1,"yes Shai Gilgeous-Alexander: 1+,yes Shai Gilgeous-Alexander: 6+,yes Oklahoma City,yes Shai Gilgeous-Alexander: 25+,yes Over 215.5 points scored",nba-phx-okc-2026-04-22-assists-shai-gilgeous-alexander-6pt5,Shai Gilgeous-Alexander: Assists O/U 6.5,0.7754,Shai Gilgeous-Alexander: Assists O/U 6.5,2026-05-07T01:30:00Z,2026-04-23T01:30:00Z
KXMVESPORTSMULTIGAMEEXTENDED-S2026BA0AAFBF0FC-51B818C26EB,"yes Desmond Bane: 15+,yes Dillon Brooks: 15+,yes Over 209.5 points scored",nba-orl-det-2026-04-22-points-desmond-bane-18pt5,Desmond Bane: Points O/U 18.5,0.7748,Desmond Bane: Points O/U 18.5,2026-05-06T23:00:00Z,2026-04-22T23:00:00Z
KXMVESPORTSMULTIGAMEEXTENDED-S202644176CB4A9D-4858093489B,"yes Duncan Robinson: 1+,no Over 231.5 points scored",nba-orl-det-2026-04-22-points-duncan-robinson-2pt5,Duncan Robinson: Points O/U 2.5,0.7726,Duncan Robinson: Points O/U 2.5,2026-05-06T23:00:00Z,2026-04-22T23:00:00Z
KXMVECROSSCATEGORY-S2026C653F68BF93-B3020B59F14,"yes Jalen Williams: 15+,yes Jalen Green: 15+,yes Over 215.5 points scored",nba-phx-okc-2026-04-22-points-jalen-williams-18pt5,Jalen Williams: Points O/U 18.5,0.772,Jalen Williams: Points O/U 18.5,2026-05-07T01:30:00Z,2026-04-23T01:30:00Z
KXMVESPORTSMULTIGAMEEXTENDED-S20263A6D972FC4F-536AC41C442,"yes Paolo Banchero: 20+,yes Over 215.5 points scored",nba-orl-det-2026-04-22-points-paolo-banchero-20pt5,Paolo Banchero: Points O/U 20.5,0.7716,Paolo Banchero: Points O/U 20.5,2026-05-06T23:00:00Z,2026-04-22T23:00:00Z
KXMVECROSSCATEGORY-S2026F05A2E5C66F-F988ADD52F0,"yes Dillon Brooks: 2+,no Over 215.5 points scored",nba-phx-okc-2026-04-22-points-dillon-brooks-16pt5,Dillon Brooks: Points O/U 16.5,0.7711,Dillon Brooks: Points O/U 16.5,2026-05-07T01:30:00Z,2026-04-23T01:30:00Z
KXMVESPORTSMULTIGAMEEXTENDED-S2026E7119343632-CAED56F7488,"yes Duncan Robinson: 2+,yes Detroit wins by over 7.5 points,no Over 219.5 points scored",nba-orl-det-2026-04-22-points-duncan-robinson-2pt5,Duncan Robinson: Points O/U 2.5,0.7701,Duncan Robinson: Points O/U 2.5,2026-05-06T23:00:00Z,2026-04-22T23:00:00Z
KXMVESPORTSMULTIGAMEEXTENDED-S2026F9E341EC254-69428E9AECD,"yes Desmond Bane: 1+,yes Desmond Bane: 15+,yes Franz Wagner: 10+,yes Paolo Banchero: 15+,yes Over 210.5 points scored",nba-orl-det-2026-04-22-points-desmond-bane-18pt5,Desmond Bane: Points O/U 18.5,0.7689,Desmond Bane: Points O/U 18.5,2026-05-06T23:00:00Z,2026-04-22T23:00:00Z
KXMVESPORTSMULTIGAMEEXTENDED-S20269ED48A5BE2D-471BCA6F931,"yes Paolo Banchero: 20+,yes Over 219.5 points scored,yes Over 215.5 points scored",nba-orl-det-2026-04-22-points-paolo-banchero-20pt5,Paolo Banchero: Points O/U 20.5,0.7683,Paolo Banchero: Points O/U 20.5,2026-05-06T23:00:00Z,2026-04-22T23:00:00Z
KXMVESPORTSMULTIGAMEEXTENDED-S2026DC99B6AF4F4-F237708A7EB,"yes Cade Cunningham: 3+,yes Cade Cunningham: 30+,yes Over 219.5 points scored",nba-orl-det-2026-04-22-points-cade-cunningham-28pt5,Cade Cunningham: Points O/U 28.5,0.7678,Cade Cunningham: Points O/U 28.5,2026-05-06T23:00:00Z,2026-04-22T23:00:00Z
KXMVESPORTSMULTIGAMEEXTENDED-S202673FB91AD7F5-EAD5586E992,"yes Desmond Bane: 15+,yes Dillon Brooks: 15+,yes Over 210.5 points scored,yes Over 212.5 points scored",nba-orl-det-2026-04-22-points-desmond-bane-18pt5,Desmond Bane: Points O/U 18.5,0.7678,Desmond Bane: Points O/U 18.5,2026-05-06T23:00:00Z,2026-04-22T23:00:00Z
KXMVESPORTSMULTIGAMEEXTENDED-S20261791DE0E8D2-F38934455D5,"yes Cade Cunningham: 3+,yes Cade Cunningham: 30+,yes Over 219.5 points scored,yes Over 215.5 points scored",nba-orl-det-2026-04-22-points-cade-cunningham-28pt5,Cade Cunningham: Points O/U 28.5,0.7669,Cade Cunningham: Points O/U 28.5,2026-05-06T23:00:00Z,2026-04-22T23:00:00Z
